         486680400 function calls (430525595 primitive calls) in 49.706 seconds

   Ordered by: cumulative time
   List reduced from 125 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      597    1.633    0.003   43.182    0.072 threading.py:323(wait)
109260582/53740431    6.369    0.000   32.081    0.000 {built-in method builtins.max}
   259440    0.150    0.000   29.701    0.000 prefilter.py:86(<genexpr>)
       50    0.006    0.000   25.424    0.508 prefilter.py:76(filter_ungapped)
   240044    2.849    0.000   24.226    0.000 prefilter.py:62(ungapped_score)
     2391    2.153    0.001   24.088    0.010 {method 'acquire' of '_thread.lock' objects}
      598    0.028    0.000   21.301    0.036 demo.py:54(sample)
      598    0.091    0.000   15.491    0.026 __init__.py:951(children)
      598    0.132    0.000   14.101    0.024 __init__.py:251(_ppid_map)
1266840/633420    0.204    0.000   12.763    0.000 _psosx.py:343(wrapper)
   241044    3.575    0.000   12.111    0.000 scoring.py:83(guard_range)
   631028    0.079    0.000    8.968    0.000 _psosx.py:411(ppid)
106541448    5.321    0.000    7.976    0.000 scoring.py:87(<genexpr>)
634018/633420    0.307    0.000    7.811    0.000 _common.py:367(wrapper)
   632822    0.728    0.000    7.080    0.000 _psosx.py:370(_get_kinfo_proc)
      500    4.572    0.009    6.772    0.014 align_reference.py:25(align)
   482088    3.490    0.000    6.349    0.000 scoring.py:53(encode)
   632822    5.928    0.000    5.928    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
 91498346    2.814    0.000    2.833    0.000 scoring.py:60(<genexpr>)
106300404    2.653    0.000    2.653    0.000 {built-in method builtins.abs}
 34479609    1.902    0.000    1.903    0.000 <string>:2(__lt__)
    598/8    0.269    0.000    1.794    0.224 threading.py:637(wait)
1385744/1385698    0.809    0.000    1.497    0.000 {built-in method builtins.sorted}
       50    0.046    0.001    1.475    0.029 prefilter.py:29(collect_hits)
  2367830    0.262    0.000    1.401    0.000 prefilter.py:17(__post_init__)
  2609874    0.435    0.000    1.242    0.000 {built-in method builtins.any}
       50    0.656    0.013    0.956    0.019 prefilter.py:38(supported_diagonals)
   481088    0.111    0.000    0.774    0.000 records.py:68(sequence)
  9471320    0.752    0.000    0.752    0.000 prefilter.py:18(<genexpr>)
   481088    0.489    0.000    0.526    0.000 records.py:22(__post_init__)
  2367830    0.162    0.000    0.241    0.000 <string>:2(__hash__)
      598    0.001    0.000    0.110    0.000 __init__.py:1482(pids)
      500    0.008    0.000    0.097    0.000 traceback.py:10(rescore_alignment)
      598    0.001    0.000    0.097    0.000 _psosx.py:319(pids)
      598    0.095    0.000    0.095    0.000 {built-in method psutil._psutil_osx.pids}
  2368428    0.092    0.000    0.092    0.000 {method 'add' of 'set' objects}
  2249633    0.084    0.000    0.084    0.000 {built-in method builtins.len}
  2367830    0.079    0.000    0.079    0.000 {built-in method builtins.hash}
  2367830    0.069    0.000    0.069    0.000 prefilter.py:24(diagonal)
  1444864    0.059    0.000    0.059    0.000 {built-in method builtins.isinstance}


